SPA,1SPATIAL PLC
IWVL,ISHARES IV PLC
IWVU,ISHARES IV PLC
JPSG,ISHARES IV PLC
LOCK,ISHARES IV PLC
NDIA,ISHARES IV PLC
OMXS,ISHARES IV PLC
OPEN,ISHARES IV PLC
RBOD,ISHARES IV PLC
RBOT,ISHARES IV PLC
RBTX,ISHARES IV PLC
RISE,ISHARES IV PLC
SAEM,ISHARES IV PLC
SAEU,ISHARES IV PLC
SAJP,ISHARES IV PLC
SASU,ISHARES IV PLC
SAUM,ISHARES IV PLC
SAWD,ISHARES IV PLC
SDHA,ISHARES IV PLC
SDHG,ISHARES IV PLC
SDHY,ISHARES IV PLC
SDIA,ISHARES IV PLC
SDIG,ISHARES IV PLC
SDJP,ISHARES IV PLC
SDUE,ISHARES IV PLC
SDUS,ISHARES IV PLC
SDWD,ISHARES IV PLC
SEDM,ISHARES IV PLC
SEGM,ISHARES IV PLC
SGJP,ISHARES IV PLC
SGWS,ISHARES IV PLC
SHLD,ISHARES IV PLC
SHLG,ISHARES IV PLC
SMBS,ISHARES IV PLC
SMUD,ISHARES IV PLC
SUAP,ISHARES IV PLC
SUAS,ISHARES IV PLC
SUES,ISHARES IV PLC
SUJA,ISHARES IV PLC
SUJP,ISHARES IV PLC
SUJS,ISHARES IV PLC
SUSM,ISHARES IV PLC
SUSW,ISHARES IV PLC
SUUS,ISHARES IV PLC
SUWG,ISHARES IV PLC
SUWS,ISHARES IV PLC
UESD,ISHARES IV PLC
UFSD,ISHARES IV PLC
WIAU,ISHARES IV PLC
WIGG,ISHARES IV PLC
WING,ISHARES IV PLC
WNGE,ISHARES IV PLC
CORP,ISHARES PLC
CRHG,ISHARES PLC
CRPA,ISHARES PLC
CRPS,ISHARES PLC
CRPU,ISHARES PLC
DJMC,ISHARES PLC
DJSC,ISHARES PLC
EIMI,ISHARES PLC
EIMU,ISHARES PLC
EMGU,ISHARES PLC
EMIM,ISHARES PLC
ES15,ISHARES PLC
EUXS,ISHARES PLC
FXC,ISHARES PLC
GHYG,ISHARES PLC
GOVP,ISHARES PLC
HIGH,ISHARES PLC
HLQD,ISHARES PLC
HYEA,ISHARES PLC
HYGU,ISHARES PLC
HYLA,ISHARES PLC
HYLD,ISHARES PLC
IAEX,ISHARES PLC
IAPD,ISHARES PLC
IB01,ISHARES PLC
IBCI,ISHARES PLC
IBCX,ISHARES PLC
IBGS,ISHARES PLC
IBTA,ISHARES PLC
IBTE,ISHARES PLC
IBTG,ISHARES PLC
IBTS,ISHARES PLC
IBTU,ISHARES PLC
IBZL,ISHARES PLC
IDAP,ISHARES PLC
IDBT,ISHARES PLC
IDBZ,ISHARES PLC
IDEM,ISHARES PLC
IDFF,ISHARES PLC
IDFX,ISHARES PLC
IDJG,ISHARES PLC
IDKO,ISHARES PLC
IDNA,ISHARES PLC
IDTW,ISHARES PLC
IDUS,ISHARES PLC
IDVY,ISHARES PLC
IDWR,ISHARES PLC
IEEM,ISHARES PLC
IEUX,ISHARES PLC
IFFF,ISHARES PLC
IGHY,ISHARES PLC
IHYG,ISHARES PLC
IJPD,ISHARES PLC
IJPN,ISHARES PLC
IJPU,ISHARES PLC
IKOR,ISHARES PLC
INAA,ISHARES PLC
IPRP,ISHARES PLC
IS15,ISHARES PLC
ISF,ISHARES PLC
ISFD,ISHARES PLC
ISFU,ISHARES PLC
ITWN,ISHARES PLC
IUKD,ISHARES PLC
IUSA,ISHARES PLC
IWRD,ISHARES PLC
LQDA,ISHARES PLC
LQDE,ISHARES PLC
LQDG,ISHARES PLC
LQDH,ISHARES PLC
LQDS,ISHARES PLC
LQEE,ISHARES PLC
LQGH,ISHARES PLC
MIDD,ISHARES PLC
SHYG,ISHARES PLC
SLXX,ISHARES PLC
CBE3,ISHARES VII PLC
CBU0,ISHARES VII PLC
CBU3,ISHARES VII PLC
CBU7,ISHARES VII PLC
CBUG,ISHARES VII PLC
CCAU,ISHARES VII PLC
CE01,ISHARES VII PLC
CE31,ISHARES VII PLC
CE71,ISHARES VII PLC
CEA1,ISHARES VII PLC
CEMA,ISHARES VII PLC
CES1,ISHARES VII PLC
CEU1,ISHARES VII PLC
CEUG,ISHARES VII PLC
CIND,ISHARES VII PLC
CJPU,ISHARES VII PLC
CMB1,ISHARES VII PLC
CMX1,ISHARES VII PLC
CMXC,ISHARES VII PLC
CNDX,ISHARES VII PLC
CNKY,ISHARES VII PLC
CNX1,ISHARES VII PLC
CPJ1,ISHARES VII PLC
CPXJ,ISHARES VII PLC
CS51,ISHARES VII PLC
CSCA,ISHARES VII PLC
CSJP,ISHARES VII PLC
CSKR,ISHARES VII PLC
CSP1,ISHARES VII PLC
CSPX,ISHARES VII PLC
CSUK,ISHARES VII PLC
CSUS,ISHARES VII PLC
CSX5,ISHARES VII PLC
CU1,ISHARES VII PLC
CU31,ISHARES VII PLC
CU71,ISHARES VII PLC
CUKS,ISHARES VII PLC
CUKX,ISHARES VII PLC
CUS1,ISHARES VII PLC
CUSS,ISHARES VII PLC
EMUU,ISHARES VII PLC
GSPX,ISHARES VII PLC
IEMU,ISHARES VII PLC
ISX5,ISHARES VII PLC
UKEL,ISHARES VII PLC
UPAD,ISHARES VII PLC
COMM,ISHARES VI PLC
EMBE,ISHARES VI PLC
EMID,ISHARES VI PLC
EMMV,ISHARES VI PLC
EMV,ISHARES VI PLC
ESIC,ISHARES VI PLC
ESIE,ISHARES VI PLC
ESIF,ISHARES VI PLC
ESIH,ISHARES VI PLC
ESIN,ISHARES VI PLC
ESIS,ISHARES VI PLC
ESIT,ISHARES VI PLC
EUMD,ISHARES VI PLC
EYED,ISHARES VI PLC
GAAA,ISHARES VI PLC
GHYS,ISHARES VI PLC
I500,ISHARES VI PLC
IAAA,ISHARES VI PLC
ICOM,ISHARES VI PLC
IMV,ISHARES VI PLC
IMVU,ISHARES VI PLC
MINV,ISHARES VI PLC
MVEA,ISHARES VI PLC
MVED,ISHARES VI PLC
MVEE,ISHARES VI PLC
MVEU,ISHARES VI PLC
MVEW,ISHARES VI PLC
MVOL,ISHARES VI PLC
MVUS,ISHARES VI PLC
ROLG,ISHARES VI PLC
ROLL,ISHARES VI PLC
SAAA,ISHARES VI PLC
SPMD,ISHARES VI PLC
SPMV,ISHARES VI PLC
WMVG,ISHARES VI PLC
BNKS,ISHARES V PUBLIC LIMITED COMPANY
CEMG,ISHARES V PUBLIC LIMITED COMPANY
EMCA,ISHARES V PUBLIC LIMITED COMPANY
EMCP,ISHARES V PUBLIC LIMITED COMPANY
EMCR,ISHARES V PUBLIC LIMITED COMPANY
FRGP,ISHARES V PUBLIC LIMITED COMPANY
IAUP,ISHARES V PUBLIC LIMITED COMPANY
ICDU,ISHARES V PUBLIC LIMITED COMPANY
ICSU,ISHARES V PUBLIC LIMITED COMPANY
IEDY,ISHARES V PUBLIC LIMITED COMPANY
IESU,ISHARES V PUBLIC LIMITED COMPANY
IFRB,ISHARES V PUBLIC LIMITED COMPANY
IGUS,ISHARES V PUBLIC LIMITED COMPANY
IGWD,ISHARES V PUBLIC LIMITED COMPANY
IHCU,ISHARES V PUBLIC LIMITED COMPANY
IISU,ISHARES V PUBLIC LIMITED COMPANY
IITU,ISHARES V PUBLIC LIMITED COMPANY
IJPE,ISHARES V PUBLIC LIMITED COMPANY
IJPH,ISHARES V PUBLIC LIMITED COMPANY
IMSU,ISHARES V PUBLIC LIMITED COMPANY
IOGP,ISHARES V PUBLIC LIMITED COMPANY
IPOL,ISHARES V PUBLIC LIMITED COMPANY
IRCP,ISHARES V PUBLIC LIMITED COMPANY
ISAC,ISHARES V PUBLIC LIMITED COMPANY
ISAG,ISHARES V PUBLIC LIMITED COMPANY
ITEB,ISHARES V PUBLIC LIMITED COMPANY
ITEH,ISHARES V PUBLIC LIMITED COMPANY
IUCD,ISHARES V PUBLIC LIMITED COMPANY
IUCM,ISHARES V PUBLIC LIMITED COMPANY
IUCS,ISHARES V PUBLIC LIMITED COMPANY
IUES,ISHARES V PUBLIC LIMITED COMPANY
IUFS,ISHARES V PUBLIC LIMITED COMPANY
IUHC,ISHARES V PUBLIC LIMITED COMPANY
IUIS,ISHARES V PUBLIC LIMITED COMPANY
IUIT,ISHARES V PUBLIC LIMITED COMPANY
IUMS,ISHARES V PUBLIC LIMITED COMPANY
IUSE,ISHARES V PUBLIC LIMITED COMPANY
IUSU,ISHARES V PUBLIC LIMITED COMPANY
IUUS,ISHARES V PUBLIC LIMITED COMPANY
IWDE,ISHARES V PUBLIC LIMITED COMPANY
SDEU,ISHARES V PUBLIC LIMITED COMPANY
SEDY,ISHARES V PUBLIC LIMITED COMPANY
SPAG,ISHARES V PUBLIC LIMITED COMPANY
SPEH,ISHARES V PUBLIC LIMITED COMPANY
SPGP,ISHARES V PUBLIC LIMITED COMPANY
SPOG,ISHARES V PUBLIC LIMITED COMPANY
SPOL,ISHARES V PUBLIC LIMITED COMPANY
SPPB,ISHARES V PUBLIC LIMITED COMPANY
SSAC,ISHARES V PUBLIC LIMITED COMPANY
UIFS,ISHARES V PUBLIC LIMITED COMPANY
WENS,ISHARES V PUBLIC LIMITED COMPANY
ITX,ITACONIX PLC
ITH,ITHACA ENERGY PLC
RUSB,ITI FUNDS UCITS ETF SICAV
RUSE,ITI FUNDS UCITS ETF SICAV
ITIM,ITIM GROUP PLC
ITM,ITM POWER PLC
ITV,ITV PLC
IWG,IWG PLC
IXI,IXICO PLC
IX.,I(X) NET ZERO PLC
JADE,JADE ROAD INVESTMENTS LIMITED
JSE,JADESTONE ENERGY PLC
JHD,JAMES HALSTEAD PLC
JHDA,JAMES HALSTEAD PLC
JAN,JANGADA MINES PLC
JAR,JARDINE MATHESON HOLDINGS LD
JARB,JARDINE MATHESON HOLDINGS LD
JARJ,JARDINE MATHESON HOLDINGS LD
JIM,JARVIS SECURITIES PLC
JWNG,JAYWING PLC
JD.,JD SPORTS FASHION PLC
JEL,JERSEY ELECTRICITY PLC
JOG,JERSEY OIL AND GAS PLC
JET2,JET2 PLC
JLEN,JLEN ENVIRONMENTAL ASSETS GROUP LIMITED
JLH,JOHN LEWIS OF HUNGERFORD PLC
JMAT,JOHNSON MATTHEY PLC
JSG,JOHNSON SERVICE GROUP PLC
80TE,JOINT STOCK COMPANY KASPI.KZ
KSPI,JOINT STOCK COMPANY KASPI.KZ
59OT,JOINT STOCK COMPANY NATIONAL ATOMIC COMPANY KAZATOMPROM
KAP,JOINT STOCK COMPANY NATIONAL ATOMIC COMPANY KAZATOMPROM
JOUL,JOULES GROUP PLC
JNEO,JOURNEO PLC
JPEL,JPEL PRIVATE EQUITY LIMITED
JAM,JPMORGAN AMERICAN INVESTMENT TRUST PLC
JAGI,JPMORGAN ASIA GROWTH & INCOME PLC
JCGI,JPMORGAN CHINA GROWTH & INCOME PLC
JCH,JPMORGAN CLAVERHOUSE INVESTMENT TRUST PLC
JPE,JPMORGAN ELECT PLC
JPEC,JPMORGAN ELECT PLC
JPEI,JPMORGAN ELECT PLC
JEMA,"JPMORGAN EMERGING EUROPE, MIDDLE EAST & AFRICA SECURITIES PLC"
JMG,JPMORGAN EMERGING MARKETS INVESTMENT TRUST PLC
BB3M,JPMORGAN ETFS (IRELAND) ICAV
BBCS,JPMORGAN ETFS (IRELAND) ICAV
BBDD,JPMORGAN ETFS (IRELAND) ICAV
BBDS,JPMORGAN ETFS (IRELAND) ICAV
BBEG,JPMORGAN ETFS (IRELAND) ICAV
BBGE,JPMORGAN ETFS (IRELAND) ICAV
BBIL,JPMORGAN ETFS (IRELAND) ICAV
BBLL,JPMORGAN ETFS (IRELAND) ICAV
BBM3,JPMORGAN ETFS (IRELAND) ICAV
BBRT,JPMORGAN ETFS (IRELAND) ICAV
BBSC,JPMORGAN ETFS (IRELAND) ICAV
BBSD,JPMORGAN ETFS (IRELAND) ICAV
BBSU,JPMORGAN ETFS (IRELAND) ICAV
BBTP,JPMORGAN ETFS (IRELAND) ICAV
BBTR,JPMORGAN ETFS (IRELAND) ICAV
BBUD,JPMORGAN ETFS (IRELAND) ICAV
BBUS,JPMORGAN ETFS (IRELAND) ICAV
J13E,JPMORGAN ETFS (IRELAND) ICAV
J13U,JPMORGAN ETFS (IRELAND) ICAV
J15R,JPMORGAN ETFS (IRELAND) ICAV
JCAG,JPMORGAN ETFS (IRELAND) ICAV
JCAP,JPMORGAN ETFS (IRELAND) ICAV
JCAS,JPMORGAN ETFS (IRELAND) ICAV
JCAU,JPMORGAN ETFS (IRELAND) ICAV
JCGA,JPMORGAN ETFS (IRELAND) ICAV
JCHA,JPMORGAN ETFS (IRELAND) ICAV
JCSA,JPMORGAN ETFS (IRELAND) ICAV
JCST,JPMORGAN ETFS (IRELAND) ICAV
JCTS,JPMORGAN ETFS (IRELAND) ICAV
JE13,JPMORGAN ETFS (IRELAND) ICAV
JEBP,JPMORGAN ETFS (IRELAND) ICAV
JEBU,JPMORGAN ETFS (IRELAND) ICAV
JERA,JPMORGAN ETFS (IRELAND) ICAV
JERD,JPMORGAN ETFS (IRELAND) ICAV
JERE,JPMORGAN ETFS (IRELAND) ICAV
JEST,JPMORGAN ETFS (IRELAND) ICAV
JG15,JPMORGAN ETFS (IRELAND) ICAV
JGEP,JPMORGAN ETFS (IRELAND) ICAV
JGHD,JPMORGAN ETFS (IRELAND) ICAV
JGHY,JPMORGAN ETFS (IRELAND) ICAV
JGRE,JPMORGAN ETFS (IRELAND) ICAV
JGSA,JPMORGAN ETFS (IRELAND) ICAV
JGST,JPMORGAN ETFS (IRELAND) ICAV
JGYH,JPMORGAN ETFS (IRELAND) ICAV
JHYP,JPMORGAN ETFS (IRELAND) ICAV
JHYU,JPMORGAN ETFS (IRELAND) ICAV
JIBG,JPMORGAN ETFS (IRELAND) ICAV
JIGB,JPMORGAN ETFS (IRELAND) ICAV
JMAB,JPMORGAN ETFS (IRELAND) ICAV
JMBA,JPMORGAN ETFS (IRELAND) ICAV
JMBE,JPMORGAN ETFS (IRELAND) ICAV
JMBP,JPMORGAN ETFS (IRELAND) ICAV
JMRE,JPMORGAN ETFS (IRELAND) ICAV
JPAS,JPMORGAN ETFS (IRELAND) ICAV
JPBM,JPMORGAN ETFS (IRELAND) ICAV
JPCT,JPMORGAN ETFS (IRELAND) ICAV
JPGL,JPMORGAN ETFS (IRELAND) ICAV
JPLG,JPMORGAN ETFS (IRELAND) ICAV
JPMB,JPMORGAN ETFS (IRELAND) ICAV
JPSA,JPMORGAN ETFS (IRELAND) ICAV
JPST,JPMORGAN ETFS (IRELAND) ICAV
JPTC,JPMORGAN ETFS (IRELAND) ICAV
JPTS,JPMORGAN ETFS (IRELAND) ICAV
JR15,JPMORGAN ETFS (IRELAND) ICAV
JRAE,JPMORGAN ETFS (IRELAND) ICAV
JRBE,JPMORGAN ETFS (IRELAND) ICAV
JRBU,JPMORGAN ETFS (IRELAND) ICAV
JRCD,JPMORGAN ETFS (IRELAND) ICAV
JRCE,JPMORGAN ETFS (IRELAND) ICAV
JRDC,JPMORGAN ETFS (IRELAND) ICAV
JRDE,JPMORGAN ETFS (IRELAND) ICAV
JRDG,JPMORGAN ETFS (IRELAND) ICAV
JRDM,JPMORGAN ETFS (IRELAND) ICAV
JRDZ,JPMORGAN ETFS (IRELAND) ICAV
JREA,JPMORGAN ETFS (IRELAND) ICAV
JREB,JPMORGAN ETFS (IRELAND) ICAV
JREC,JPMORGAN ETFS (IRELAND) ICAV
JRED,JPMORGAN ETFS (IRELAND) ICAV
JREE,JPMORGAN ETFS (IRELAND) ICAV
JREG,JPMORGAN ETFS (IRELAND) ICAV
JREI,JPMORGAN ETFS (IRELAND) ICAV
JREJ,JPMORGAN ETFS (IRELAND) ICAV
JREM,JPMORGAN ETFS (IRELAND) ICAV
JREU,JPMORGAN ETFS (IRELAND) ICAV
JREX,JPMORGAN ETFS (IRELAND) ICAV
JREZ,JPMORGAN ETFS (IRELAND) ICAV
JRGD,JPMORGAN ETFS (IRELAND) ICAV
JRIE,JPMORGAN ETFS (IRELAND) ICAV
JRJE,JPMORGAN ETFS (IRELAND) ICAV
JRMD,JPMORGAN ETFS (IRELAND) ICAV
JRUB,JPMORGAN ETFS (IRELAND) ICAV
JRUD,JPMORGAN ETFS (IRELAND) ICAV
JRUP,JPMORGAN ETFS (IRELAND) ICAV
JRXE,JPMORGAN ETFS (IRELAND) ICAV
JRZD,JPMORGAN ETFS (IRELAND) ICAV
JRZE,JPMORGAN ETFS (IRELAND) ICAV
JSET,JPMORGAN ETFS (IRELAND) ICAV
JU13,JPMORGAN ETFS (IRELAND) ICAV
JUKC,JPMORGAN ETFS (IRELAND) ICAV
JUKE,JPMORGAN ETFS (IRELAND) ICAV
JURE,JPMORGAN ETFS (IRELAND) ICAV
T3MP,JPMORGAN ETFS (IRELAND) ICAV
T3PM,JPMORGAN ETFS (IRELAND) ICAV
JEDT,JPMORGAN EUROPEAN DISCOVERY TRUST PLC
JEGI,JPMORGAN EUROPEAN GROWTH & INCOME PLC
JARA,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED
JARE,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED
JARU,JPMORGAN GLOBAL CORE REAL ASSETS LIMITED
JEMI,JPMORGAN GLOBAL EMERGING MARKETS INCOME TRUST PLC
JGGI,JPMORGAN GLOBAL GROWTH & INCOME PLC
JII,JPMORGAN INDIAN INVESTMENT TRUST PLC
JFJ,JPMORGAN JAPANESE INVESTMENT TRUST PLC
JPSS,JPMORGAN JAPAN SMALL CAP GROWTH & INCOME PLC
JSGI,JPMORGAN JAPAN SMALL CAP GROWTH & INCOME PLC
JMF,JPMORGAN MID CAPITAL INVESTMENT TRUST PLC
MATE,JPMORGAN MULTI-ASSET GROWTH & INCOME PLC
JMI,JPMORGAN UK SMALLER COMPANIES INVESTMENT TRUST PLC
JUSC,JPMORGAN US SMALLER CO. INV TST PLC
37QB,JSC HALYK BANK
HSBK,JSC HALYK BANK
JTC,JTC PLC
JLP,JUBILEE METALS GROUP PLC
JDG,JUDGES SCIENTIFIC PLC
JUP,JUPITER FUND MANAGEMENT PLC
JGC,JUPITER GREEN INVESTMENT TRUST PLC
JET,JUST EAT TAKEAWAY.COM N.V.
JUST,JUST GROUP PLC
JZCP,JZ CAPITAL PARTNERS LIMITED
KBT,K3 BUSINESS TECHNOLOGY GROUP PLC
K3C,K3 CAPITAL GROUP PLC
KNOS,KAINOS GROUP PLC
KAKU,KAKUZI LD
KNB,KANABO GROUP PLC
KAPE,KAPE TECHNOLOGIES PLC
KDR,KARELIAN DIAMOND RESOURCES PLC
KAT,KATORO GOLD PLC
KAV,KAVANGO RESOURCES PLC
KZG,KAZERA GLOBAL PLC
KCR,KCR RESIDENTIAL REIT PLC
KEFI,KEFI GOLD AND COPPER PLC
KLR,KELLER GROUP PLC
KLSO,KELSO GROUP HOLDINGS PLC
KEN,KENDRICK RESOURCES PLC
KMR,KENMARE RESOURCES PLC
KRS,KERAS RESOURCES PLC
KYGA,KERRY GROUP PLC
KEYS,KEYSTONE LAW GROUP PLC
70HF,KEYSTONE POSITIVE CHANGE INVESTMENT TRUST PLC
KPC,KEYSTONE POSITIVE CHANGE INVESTMENT TRUST PLC
KWS,KEYWORDS STUDIOS PLC
KIBO,KIBO ENERGY PLC
KIE,KIER GROUP PLC
KCT,KIN AND CARTA PLC
KGF,KINGFISHER PLC
KAY,KINGS ARMS YARD VCT PLC
KGP,KINGSPAN GROUP PLC
KWG,KINGSWOOD HOLDINGS LIMITED
KINO,KINOVO PLC
KIST,KISTOS PLC
KITW,KITWAVE GROUP PLC
KGH,KNIGHTS GROUP HOLDINGS PLC
KOD,KODAL MINERALS PLC
KNM,KONAMI GROUP CORPORATION
KOO,KOOTH PLC
KP2,KORE POTASH PLC
KOS,KOSMOS ENERGY LTD
KA50,KRANESHARES ICAV
KARP,KRANESHARES ICAV
KARS,KRANESHARES ICAV
KBND,KRANESHARES ICAV
KESG,KRANESHARES ICAV
KSTR,KRANESHARES ICAV
KURE,KRANESHARES ICAV
KWBE,KRANESHARES ICAV
KWBP,KRANESHARES ICAV
KWEB,KRANESHARES ICAV
KRM,KRM22 PLC
KMK,KROMEK GROUP PLC
KRPZ,KROPZ PLC
KSK,KSK POWER VENTUR PLC
LRE,LANCASHIRE HOLDINGS LIMITED
LND,LANDORE RESOURCES LIMITED
LAND,LAND SECURITIES GROUP PLC
LOGP,LANSDOWNE OIL & GAS PLC
LTOD,LARSEN AND TOUBRO LIMITED
LTHM,LATHAM (JAMES) PLC
LTHP,LATHAM (JAMES) PLC
LWDB,LAW DEBENTURE CORPORATION PLC
LBG,LBG MEDIA PLC
LTG,LEARNING TECHNOLOGIES GROUP PLC
LDSG,LEEDS GROUP PLC
LGEN,LEGAL & GENERAL GROUP PLC
AIAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
AIAI,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ASPY,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
AUCO,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
AUCP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BATG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BATT,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BCOG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BCOM,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BIGT,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
BIOT,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
CASE,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
CASH,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
CMFP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
COMF,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DEL2,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DES2,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DL2P,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DOCG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DOCT,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DPAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DPAY,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DRGG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DRGN,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
DS2P,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ECOG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ECOM,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMAU,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMD5,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMDG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMDH,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMUG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
EMUS,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ENCG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ENCO,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ESPY,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GBND,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GBNG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GBNU,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GBP5,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GBPC,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GLGG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
GLUG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
HTWG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
HTWO,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ISPY,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LAZG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LAZR,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDAP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDEG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDEM,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDEU,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDME,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LDUK,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGAP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGEG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGEU,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGGG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGGL,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGJG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGJP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGUG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGUK,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LGUS,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
LUK2,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
MLPI,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
MLPX,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
MTVG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
MTVR,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RENG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RENW,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIAG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIAP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIEG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIEU,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIJG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIJP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIUG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RIUS,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ROBE,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ROBG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
ROBO,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RTWO,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
RTWP,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
SUK2,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
THMG,LEGAL & GENERAL UCITS ETF PUBLIC LIMITED COMPANY
