154A,GAIA 
54640,MORY INDUSTRIES INC. 
22170,Morozoff Limited 
29840,"Yamaichi Real Estate Co.,Ltd "
52840,"YAMAU HOLDINGS CO., LTD. "
71300,"YAMAE GROUP HOLDINGS CO.,LTD. "
92650,"YAMASHITA HEALTH CARE HOLDINGS,INC. "
62400,YAMASHIN-FILTER CORP. 
78860,"YAMATO Mobility & Mfg.Co.,Ltd. "
81270,YAMATOINTERNATIONALINC. 
90640,"YAMATO HOLDINGS CO.,LTD. "
79510,YAMAHA CORPORATION 
72720,"Yamaha Motor Co., Ltd. "
66300,YA-MAN LTD. 
80060,"YUASA FUNASHOKU CO.,LTD. "
13750,"YUKIGUNI FACTORY CO.,LTD. "
28060,YUTAKA FOODS CORPORATION 
32220,United Super Markets Holdings Inc. 
24970,"UNITED, Inc. "
35570,UNITED&COLLECTIVE CO.LTD. 
44860,Unite and Grow Inc. 
62780,UNION TOOL CO. 
71280,UNISOL Holdings Corporation 
31030,UNITIKA LTD. 
35660,"UNIFORM NEXT CO., LTD. "
59490,UNIPRES CORPORATION 
81130,UNICHARM CORPORATION 
43720,"YMIRLINK,Inc. "
431A0,"uSonar Co., Ltd "
70650,UPR Corporation 
66150,"UMC Electronics Co.,Ltd. "
52800,"Yoshicon Co.,Ltd "
79060,"YONEX CO.,LTD. "
49120,Lion Corporation 
24620,"LIKE,Inc. "
19260,"RAITO KOGYO CO., LTD. "
71570,LIFENET INSURANCE COMPANY 
82020,"Laox Holdings CO.,LTD. "
45790,RaQualia Pharma Inc. 
288A0,Laxus Technologies Inc. 
30230,Rasa Corporation 
40220,"Rasa Industries,Ltd. "
601A,?????? 
44840,"LANCERS,INC. "
68230,"RION CO.,LTD. "
268A0,Rigaku Holdings Corporation 
42200,RIKEN TECHNOS CORPORATION 
62090,NPR-RIKEN CORPORATION 
85660,"RICOH LEASING COMPANY,LTD. "
185A,????????/???? 
37680,RISKMONSTER.COM 
77690,"RHYTHM CO.,LTD. "
52610,"RESOL HOLDINGS Co.,Ltd. "
46810,"RESORTTRUST,INC. "
75250,RIX CORPORATION 
44290,"Ricksoft Co.,Ltd. "
35560,"RenetJapanGroup,Inc. "
66660,RIVER ELETEC CORPORATION 
44450,Living Technologies Inc. 
167A0,"Ryoyo Ryosan Holdings, Inc. "
58510,RYOBI LIMITED 
98270,"Lilycolor Co., Ltd. "
51310,Linkers Corporation 
79660,LINTEC Corporation 
59470,RINNAI CORPORATION 
68670,LEADER ELECTRONICS CORPORATION 
67230,Renesas Electronics Corporation 
63790,RAIZNEXT Corporation 
62720,"RHEON AUTOMATIC MACHINERY CO., LTD. "
33230,"RECOMM CO.,LTD. "
72130,LECIP HOLDINGS CORPORATION 
78740,"LEC,INC. "
39410,"Rengo Co., Ltd. "
69200,Lasertec corporation 
81790,"ROYAL HOLDINGS Co., Ltd. "
65790,"logly,Inc. "
43910,"Logizard Co.,Ltd. "
42240,LONSEAL CORPORATION 
63230,RORZE CORPORATION 
45270,"ROHTO PHARMACEUTICAL CO.,LTD. "
34820,Loadstar Capital K.K. 
69630,ROHM COMPANY LIMITED 
79440,Roland Corporation 
62980,"Y.A.C. HOLDINGS CO., LTD. "
46910,WASHINGTON HOTEL CORPORATION 
75220,"WATAMI CO.,LTD. "
41990,WonderPlanet Inc. 
5622,??? 
28050,S&B FOODS INC. 
48910,"TMS Co., Ltd "
29040,"ICHIMASA KAMABOKO CO.,LTD. "
51920,Mitsuboshi Belting Ltd. 
88010,"Mitsui Fudosan Co., Ltd. "
83090,"Sumitomo Mitsui Trust Group, Inc. "
93020,"MITSUI-SOKO HOLDINGS Co., Ltd. "
41830,"Mitsui Chemicals, Inc. "
15180,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD. "
62690,"MODEC,INC. "
80310,"MITSUI & CO., LTD. "
57060,"Mitsui Kinzoku Company, Limited "
81380,SANKYOKASEI CORPORATION 
81500,"SANSHIN ELECTRONICS CO., LTD. "
78880,sanko gosei ltd. 
80180,"SANKYO SEIKO CO.,LTD. "
96390,"SANKYO FRONTIER CO.,LTD. "
59320,"Sankyo Tateyama,Inc. "
59290,Sanwa Holdings Corporation 
41250,SANWAYUKA INDUSTRY CORPORATION 
80970,"SAN-AI OBBLI CO.,LTD "
19720,"Sanko Metal Industrial Co., Ltd. "
19610,"SANKI ENGINEERING CO.,LTD. "
65840,"Sanoh Industrial Co.,Ltd. "
44710,"SANYO CHEMICAL INDUSTRIES,LTD. "
59580,"SANYO INDUSTRIES, LTD. "
31760,"Sanyo Trading Co., Ltd. "
60050,"MIURA CO.,LTD. "
65180,"SANSO ELECTRIC CO.,LTD. "
63570,"Sansei Technologies,Inc. "
136A,???? 
41880,Mitsubishi Chemical Gloup Corporation 
57110,MITSUBISHI MATERIALS CORPORATION 
93010,Mitsubishi Logistics Corporation 
63310,"Mitsubishi Kakoki Kaisha, Ltd. "
80580,Mitsubishi Corporation 
88020,"Mitsubishi Estate Company, Limited "
41820,"MITSUBISHI GAS CHEMICAL COMPANY,INC. "
72110,MITSUBISHI MOTORS CORPORATION 
38640,MITSUBISHI PAPER MILLS LIMITED 
56320,"Mitsubishi Steel Mfg. Co.,Ltd. "
70110,"Mitsubishi Heavy Industries,Ltd. "
79760,"MITSUBISHI PENCIL CO.,LTD. "
65030,Mitsubishi Electric Corporation 
85930,Mitsubishi HC Capital Inc. 
52730,"mitanisekisanco.,ltd "
80660,MITANI CORPORATIN 
82850,"MITANI SANGYO CO.,LTD. "
32320,"Mie Kotsu Group Holdings,Inc. "
49660,"C.Uyemura & Co.,Ltd. "
59400,"FUJISASH CO.,LTD. "
51990,"FUJI LATEX CO.,LTD. "
64000,"FUJI SEIKI CO.,LTD. "
26070,"FUJI OIL CO., LTD. "
66540,"FUJI ELECTRIC INDUSTRY CO., LTD. "
18980,"SEIKITOKYU KOGYO CO.,LTD. "
46170,"CHUGOKU MARINE PAINTS,LTD. "
59740,"CHUGOKUKOGYO CO.,LTD. "
95040,"The Chugoku Electric Power Company, Incorporated "
19640,"Chugai Ro Co.,Ltd. "
45190,"CHUGAI PHARMACEUTICAL CO., LTD. "
14910,"Chugai Mining Co.,Ltd. "
7170,??????????? Group 
56070,"CHUO MALLEABLE IRON CO., LTD. "
59920,"CHUO SPRING CO.,LTD. "
81170,CENTRAL AUTOMOTIVE PRODUCTS LTD. 
80300,"Chuo Gyorui Co., Ltd. "
5531,????? 
74420,"NAKAYAMAFUKU CO.,LTD. "
96430,"Nakanihon KOGYO CO.,Ltd. "
64390,"NAKANIPPON CASTING CO.,LTD "
78110,"NAKAMOTO PACKS CO.,LTD. "
38770,"Chuetsu Pulp & Paper Co.,Ltd. "
85940,"Nakamichi Leasing Co., Ltd. "
94020,"CHUBU-NIPPON BROADCASTING Co.,LTD. "
81450,"CHUBU SUISAN CO.,LTD. "
54610,"Chubu Steel Plate Co.,Ltd. "
95020,"Chubu Electric Power Company,Incorporated "
20530,"CHUBU SHIRYO CO.,LTD. "
54630,Maruichi Steel Tube Ltd. 
86130,"Marusan Securities Co.,Ltd. "
90680,"Maruzen Showa Unyu Co,.Ltd. "
93130,"Maruhachi Warehouse Company , Limited "
87000,"Maruhachi Securities Co.,Ltd. "
31590,"Maruzen CHI Holdings Co., Ltd. "
22880,"MARUDAI FOOD CO.,LTD. "
41020,"Maruo Calcium Co., Ltd. "
97630,"Maruken Lease Co.,Ltd. "
75370,MARUBUN CORPORATION 
78940,"Maruto Sangyo Co., Ltd "
80020,Marubeni Corporation 
80460,"MARUFUJI SHEET PILING CO., LTD. "
91420,Kyushu Railway Company 
95080,"Kyushu Electric Power Company, Incorporated "
93080,"Inui Global Logistics Co., Ltd. "
22200,"KAMEDA SEIKA CO.,LTD. "
18930,"PENTA-OCEAN CONSTRUCTION CO.,LTD. "
22090,"IMURAYA GROUP CO., LTD. "
63100,"ISEKI&CO.,LTD. "
69710,KYOCERA CORPORATION 
90090,"Keisei Electric Railway Co.,Ltd. "
90730,"Kyogoku unyu shoji Co., Ltd. "
90060,Keikyu Corporation 
90080,Keio Corporation 
90490,"Keifuku Electric Railroad Co.,Ltd. "
95390,"KEIYO GAS CO., LTD. "
59660,"KYOTO TOOL CO.,LTD. "
90450,"Keihan Holdings Co.,Ltd. "
88180,"Keihanshin Building Co., Ltd. "
92480,"People, Dreams & Technologies Group Co., Ltd. "
71750,"The Imamura Securities Co.,Ltd. "
29160,"Semba Tohka Industries Co. ,Ltd "
296A0,"Reiwa Accounting Holdings Co.,Ltd. "
79740,"Nintendo Co., Ltd. "
41070,ISE CHEMICALS CORPORATION 
93590,"ISEWAN TERMINAL SERVICE CO.,LTD. "
365A0,"IZAWA TOWEL CO.,LTD. "
22960,ITOHAM YONEKYU HOLDINGS INC. 
81330,"ITOCHU ENEX CO.,LTD. "
80010,ITOCHU Corporation 
68190,"Izu Shaboten Resort Co.,Ltd "
93610,"Fushiki Kairiku Unso Co.,Ltd. "
74330,"Hakuto Co.,Ltd. "
51100,"Sumitomo Rubber Industries, Ltd. "
45060,"Sumitomo Pharma Co., Ltd. "
42030,Sumitomo Bakelite Company Limited 
88300,"Sumitomo Realty & Development Co.,Ltd. "
40050,"SUMITOMO CHEMICAL COMPANY, LIMITED "
80530,SUMITOMO CORPORATION 
52320,"Sumitomo Osaka Cement Co.,Ltd. "
19110,"Sumitomo Forestry Co.,Ltd. "
40080,"Sumitomo Seika Chemicals Company,Limited. "
63020,"SUMITOMO HEAVY INDUSTRIES,LTD. "
57130,"Sumitomo Metal Mining Co., Ltd. "
58020,"Sumitomo Electric Industries, Ltd. "
15140,"Sumiseki Holdings, Inc. "
18260,"Sata Construction Co.,Ltd. "
80650,SATO SHO-JI CORPORATION 
28140,"SATO FOODS INDUSTRIES CO.,LTD. "
41120,"Hodogaya Chemical Co.,Ltd. "
34470,"Shinwa Co., Ltd. "
79700,"Shin-Etsu Polymer Co.,Ltd. "
40630,"Shin-Etsu Chemical Co., Ltd. "
84210,Shinkin Central Bank 
31060,KURABO INDUSTRIES LTD. 
39480,"HIKARI BUSINESS FORM CO., LTD. "
138A0,"Hikari Food Service Co., Ltd. "
86170,"The Kosei Securities Co.,Ltd "
79160,"MITSUMURA PRINTING CO.,LTD. "
42220,"KODAMA CHEMICAL INDUSTRY CO.,LTD. "
58450,"ZENHOREN CO.,LTD. "
71640,"ZENKOKU HOSHO Co.,Ltd "
389A,?????????? 
31530,"Yashima Denki Co.,Ltd. "
22660,"ROKKO BUTTER CO., LTD. "
24360,"KYODO PUBLIC RELATIONS CO.,LTD. "
79140,"Kyodo Printing Co., Ltd. "
35530,"KYOWA LEATHER CLOTH CO.,LTD "
70580,"Kyoei Security Service Co., Ltd. "
91300,"KYOEI TANKER CO., LTD. "
54400,KYOEI STEEL LTD. 
93620,"HYOKI KAIUN KAISHA,LTD. "
59840,KANEFUSA CORPORATION 
64020,"KANEMATSU ENGINEERING CO.,LTD. "
80200,KANEMATSU CORPORATION 
33740,Naigai Tec Corporation 
70180,Naikai Zosen Corporation 
27670,TSUBURAYA FIELDS HOLDINGS INC. 
61670,"Fuji Die Co.,Ltd. "
50190,"Idemitsu Kosan Co.,Ltd. "
74250,"HATSUHO SHOUJI CO.,LTD. "
575A0,"MAEZAWA Holdings CO., LTD. "
64850,"MAEZAWA KYUSO INDUSTRIES CO.,LTD. "
78210,"MAEDA KOSEN CO., LTD. "
98690,"KATO SANGYO CO.,LTD. "
81540,"KAGA ELECTRONICS CO.,LTD. "
77110,"SUKEGAWA ELECTRIC CO.,LTD "
40130,"KInjiro Co.,Ltd. "
63270,"KITAGAWA SEIKI CO.,LTD. "
98720,"KITAKEI CO.,LTD "
99300,"KITAZAWASANGYOco.,ltd. "
21340,"Kitahama Capital Partners Co.,Ltd. "
25730,"HOKKAIDO COCA-COLA BOTTLING CO.,LTD. "
90850,"Hokkaido Chuo Bus Co., Ltd. "
7693,??????? 
95340,"HOKKAIDO GAS CO., LTD. "
95090,"Hokkaido Electric Power Company, Incorporated "
49920,"HOKKO CHEMICAL INDUSTRY CO.,LTD. "
38650,Hokuetsu Corporation 
54460,"HOKUETSU METAL Co.,Ltd. "
18660,KITANO CONSTRUCTION CORP. 
95370,"HOKURIKU GAS CO.,LTD. "
95050,Hokuriku Electric Power Company 
19300,"hokuriku electrical construction co.,ltd. "
69890,"HOKURIKU ELECTRIC INDUSTRY CO., LTD. "
27470,"Hokuyu Lucky Co.,Ltd. "
69150,"CHIYODA INTEGRE CO.,LTD. "
63660,CHIYODA CORPORATION 
41510,"Kyowa Kirin Co.,Ltd. "
59970,KYORITSU AIR TECH INC. 
36700,"Kyoritsu Computer & Communication Co.,Ltd. "
68740,KYORITSU ELECTRIC CORPORATION 
78870,"NANKAI PLYWOOD CO.,LTD "
40400,"NANKAI CHEMICAL COMPANY, LIMITED "
18500,"Nankai Tatsumura Construction Co., Ltd. "
90340,"NANSO Transport Co., Ltd. "
69040,"HARADA INDUSTRY CO.,LTD. "
45360,"SANTEN PHARMACEUTICAL CO.,LTD. "
27680,Sojitz Corporation 
69860,FUTABA CORPORATION 
39440,"FURUBAYASHI SHIKO CO.,LTD. "
57150,"FURUKAWA CO.,LTD. "
58010,"Furukawa Electric Co., Ltd. "
68140,"FURUNO ELECTRIC CO., LTD. "
54100,"Godo Steel,Ltd. "
70760,"meinan M&A co.,ltd. "
90480,"Nagoya Railroad Co., Ltd. "
67970,"NAGOYA ELECTRIC WORKS CO.,LTD. "
18690,"MEIKO CONSTRUCTION CO.,LTD. "
93570,"MEIKO TRANS CO.,LTD. "
28020,"Ajinomoto Co., Inc. "
28130,"Wakou Shokuhin Co.,Ltd. "
89310,WADAKOHSAN CORPORATION 
53510,"SHINAGAWA REFRA CO., LTD. "
40990,SHIKOKU KASEI HOLDINGS CORPOLATION 
95070,"Shikoku Electric Power Company, Incorporated "
99340,"INABA DENKI SANGYO CO.,LTD. "
77220,"KOKUSAI CO.,LTD "
32520,"JINUSHI Co.,Ltd. "
60720,"Jibannet Holdings Co., Ltd. "
40780,"Sakai Chemical Industry Co.,Ltd. "
21120,"Ensuiko Sugar Refining Co.,Ltd. "
45070,"Shionogi & Co.,Ltd. "
92350,"Ureru Net Advertising Group Co.,Ltd. "
40250,"Taki Chemical Co., Ltd. "
26730,"YUMEMITSUKETAI Co., Ltd. "
31850,"DREAM VISION CO.,LTD. "
98180,"DAIMARU.ENAWIN CO.,LTD. "
68220,"Oi Electric Co.,Ltd. "
46290,"DAISHIN CHEMICAL CO.,LTD. "
42210,"Okura Industrial Co.,Ltd. "
9149,????????????? 
72450,"DAIDO METAL CO., LTD. "
67430,"Daido Signal Co.,Ltd. "
54710,"Daido Steel Co., Ltd. "
19250,"DAIWA HOUSE INDUSTRY CO., LTD. "
54440,"YAMATO KOGYO CO.,LTD. "
90820,"Daiwa Motor Transportation Co.,Ltd "
45780,"Otsuka Holdings Co., Ltd. "
90400,"Taiho Transportation Co., Ltd "
66440,"Osaki Electric Co.,Ltd. "
55410,"Pacific Metals Co., Ltd. "
45740,"TAIKO PHARMACEUTICAL CO., LTD. "
49940,"Taisei Lamick Group Head Quarter & Innovation Co., Ltd. "
18010,taisei corporation 
19040,"taisei oncho co.,ltd. "
79120,"Dai Nippon Printing Co.,Ltd. "
46110,"Dai Nippon Toryo Company, Limited "
41160,"Dainichiseika Color & Chemicals Mfg. Co., Ltd. "
34170,"OHKI HEALTHCARE HOLDINGS CO.,LTD. "
18140,"DAISUE CONSTRUCTION CO., LTD. "
39530,"OHMURA SHIGYO CO.,LTD "
18780,"DAITO TRUST CONSTRUCTION CO.,LTD. "
93670,"DAITO KOUN CO.,LTD. "
93360,"Daiei Kankyo Co., Ltd. "
38800,Daio Paper Corporation 
39430,"OHISHI SANGYO CO.,LTD. "
77750,"DAIKEN MEDICAL CO.,LTD "
29740,"Taieiyosan Kogyo Co., Ltd. "
64700,"TAIHO KOGYO CO.,LTD. "
18220,DAIHO CORPORATION 
41870,OSAKA ORGANIC CHEMICAL INDUSTRY LTD. 
41240,OSAKA YUKA INDUSTRY LTD. 
95320,"OSAKA GAS CO.,LTD. "
54490,"OSAKA STEEL CO.,LTD. "
27910,"DAIKOKUTENBUSSAN CO.,LTD. "
69930,"Daikokuya Holdings Co.,LTD. "
67760,"Tensho Electric Industries Co., Ltd. "
59450,"Tenryu Saw Mfg. Co., Ltd. "
52330,TAIHEIYO CEMENT CORPORATION 
88350,TAIHEIYO KOUHATSU INCORPORATED 
19680,"TAIHEI DENGYO KAISHA,LTD. "
66630,"TAIYO TECHNOLEX CO.,LTD. "
17580,"Taiyo Kisokogyo Co.,Ltd. "
99410,"TAIYO BUSSAN KAISHA,LTD. "
46260,"TAIYO HOLDINGS CO., LTD. "
29020,"TAIYOKAGAKU CO.,LTD. "
69760,"TAIYO YUDEN CO., LTD. "
62260,"Moriya Transportation Engineering and Manufacturing Co.,Ltd "
93240,Yasuda Logistics corporation 
25310,TAKARA HOLDINGS INC. 
48850,MUROMACHI CHEMICALS INC. 
34310,"MIYAJI ENGINEERING GROUP, INC. "
66200,"Miyakoshi Holdings, Inc. "
49010,FUJIFILM Holdings Corporation 
416A0,?????? Holdings 
90100,"FUJI KYUKO CO., LTD. "
61420,FUJI SEIKO LIMITED 
31040,"Fujibo Holdings, Inc. "
45540,"Fuji Pharma Co.,Ltd. "
67020,FUJITSU LIMITED 
65040,"FUJI ELECTRIC CO., LTD. "
562A,?? 
66370,"TERASAKI ELECTRIC CO.,LTD. "
22220,"Kotobuki Spirits Co.,Ltd. "
64080,"OGURA CLUTCH CO.,LTD. "
79490,"KOMATSU WALL INDUSTRY CO., LTD. "
35800,"KOMATSU MATERE Co., Ltd. "
49670,"KOBAYASHI PHARMACEUTICAL CO.,LTD. "
61370,"KOIKE SANSO KOGYO CO.,LTD. "
74870,ozu corporation 
90070,"Odakyu Electric Railway Co., Ltd "
74140,"ONOKEN CO.,LTD. "
45280,"ONO PHARMACEUTICAL CO., LTD. "
209A,????? 
74810,"oie sangyo co.,ltd "
69410,"YAMAICHI ELECTRONICS CO.,LTD. "
90650,SANKYU INC. 
35980,"YAMAKI CO.,LTD. "
22120,"YAMAZAKI BAKING CO., LTD. "
385A,???? 
65160,"SANYO DENKI CO.,LTD. "
47920,"YAMADA Consulting Group CO.,LTD. "
90520,"Sanyo Electric Railway Co.,Ltd. "
90630,"Okayamaken Freight Transportation Co.,Ltd "
77460,"OKAMOTO GLASS CO., LTD. "
74850,"OKAYA&CO.,LTD. "
69260,"OKAYA ELECTRIC INDUSTRIES CO.,LTD. "
59590,"OKABE CO., LTD. "
64920,okano valve mfg.co.ltd. 
87070,"IwaiCosmo Holdings, Inc. "
22210,"IWATSUKA CONFECTIONERY CO.,LTD. "
80880,IWATANI CORPORATION 
46160,"KAWAKAMI PAINT MANUFACTURING CO.,LTD. "
43610,"KAWAGUCHI CHEMICAL INDUSTRY CO.,LTD. "
59210,"Kawagishi Bridge Works Co.,Ltd. "
46730,"Kawasaki Geological Engineering Co., Ltd. "
91070,"Kawasaki Kisen Kaisha, Ltd. "
17770,"KAWASAKI SETSUBI KOGYO CO., LTD. "
70120,"Kawasaki Heavy Industries,Ltd. "
34430,"KAWADA TECHNOLOGIES,INC. "
93220,"KAWANISHI WAREHOUSE CO.,LTD. "
81230,"T.KAWABE & CO., LTD. "
17640,KUDO CORPORATION 
63090,"TOMOE ENGINEERING CO.,LTD. "
72440,"ICHIKOH INDUSTRIES, LTD. "
34010,TEIJIN LIMITED 
33020,"TEIKOKU SEN-I Co.,Ltd. "
67630,"Teikoku Tsushin Kogyo Co.,Ltd "
88030,"HEIWA REAL ESTATE CO.,LTD. "
99290,"HEIWA PAPER CO., LTD. "
58210,HIRAKAWA HEWTECH CORP. 
62580,HIRATA Corporation 
21520,Youji Corporation 
95350,"HIROSHIMA GAS CO.,LTD. "
90330,"Hiroshima Electric Railway Co.,Ltd. "
60270,"Bengo4.com,Inc. "
18920,"Tokukura Construction Co., Ltd. "
97550,OYO Corporation 
43560,"APPLIED TECHNOLOGY CO., LTD "
42510,KEIWA Incorporated 
72830,"AISAN INDUSTRY CO., LTD "
98540,"AIGAN CO.,LTD. "
77230,"Aichi Tokei Denki Co.,Ltd. "
54820,AICHI STEEL CORPORATION 
66230,"AICHI ELECTRIC CO.,LTD. "
91700,"SEIYU KOGYO Co.,Ltd. "
41000,TODA KOGYO CORP. 
18600,TODA CORPORATION 
24770,"Temairazu, Inc. "
43680,"FUSO CHEMICAL CO.,LTD. "
45380,"Fuso Pharmaceutical Industries,Ltd. "
75050,"FUSO DENTSU CO., LTD. "
14430,"Giken Holdings Co., Ltd. "
45340,"Mochida Pharmaceutical Co.,Ltd. "
59300,"Bunka Shutter Co.,Ltd. "
68240,"NEW COSMOS ELECTRIC CO., LTD "
81410,"Shinko Shoji Co.,Ltd. "
55420,Shinhokoku Material Corp. 
73050,"ARAYA INDUSTRIAL CO.,LTD. "
18790,SHINNIHON CORPORATION 
44060,"New Japan Chemical Co., Ltd. "
19520,"Shin Nippon Air Technologies Co., Ltd. "
49310,"Shinnihonseiyaku Co., Ltd. "
55630,"Nippon Denko Co., Ltd. "
72240,"ShinMaywa Industries, Ltd. "
64580,SINKO INDUSTRIES LTD. 
63390,"Sintokogio,Ltd. "
53800,SHINTO COMPANY LIMITED 
90170,"NiigataKotsu Co.,Ltd. "
49770,Nitta Gelatin Inc. 
27760,"SHINTO Holdings, Inc. "
68440,"Shindengen Electric Manufacturing Co.,Ltd. "
56580,"NICHIA STEEL WORKS,LTD. "
34400,"NISSO GROUP CO.,LTD. "
20550,"NICHIWA SANGYO CO., LTD. "
63060,"NIKKO CO.,LTD. "
97670,"NIKKEN KOGAKU CO., LTD. "
19630,JGC HOLDINGS CORPORATION 
74900,"NISSIN SHOJI CO., LTD. "
29140,JAPAN TOBACCO INC. 
79860,"NIHON ISK Company, Limited "
85180,"Japan Asia Investment Company, Limited "
69460,"Nippon Avionics Co., Ltd. "
53680,"JAPAN INSULATION CO.,LTD. "
62910,"AIRTECH JAPAN,LTD. "
92490,"Japan Ecosystem Co.,Ltd. "
60630,"Emergency Assistance Japan Co., Ltd. "
48290,"Nihon Enterprise Co.,Ltd. "
47160,ORACLE CORPORATION JAPAN 
40640,"NIPPON CARBIDE INDUSTRIES CO.,INC. "
53020,"Nippon Carbon Co. , Ltd. "
63560,"NIPPON GEAR CO.,LTD. "
29760,"Nippon Grande Co.,Ltd. "
69970,NIPPON CHEMI-CON CORPORATION 
45390,"NIPPON CHEMIPHAR CO., LTD. "
52690,"NIPPON CONCRETE INDUSTRIES CO.,LTD. "
33150,"NIPPON COKE & ENGINEERING CO., LTD. "
69580,CMK CORPORATION 
55300,"Nihon System Bank Co., Ltd. "
43230,"Japan System Techniques Co.,Ltd. "
60400,Nippon Ski Resort Development Co. Ltd. 
69290,"NIPPON CERAMIC CO.,LTD. "
42050,ZEON CORPORATION 
69980,"Nippon Tungsten Co.,Ltd. "
38490,NIPPON TECHNO LAB INC. 
94040,"Nippon Television Holdings, Inc. "
79500,"NIHON DECOLUXE CO.,LTD. "
64800,"NIPPON THOMPSON CO., LTD. "
93100,Japan Transcity Corporation 
19090,"Nippon Dry-Chemical CO.,LTD. "
52520,"Nihon Knowledge Co,Ltd. "
22820,NH Foods Ltd. 
59500,"JAPAN POWER FASTENING CO.,LTD "
40950,"NIHON PARKERIZING CO., LTD. "
52620,Nippon Hume Corporation 
50360,"Japan Business Systems, Inc. "
37230,NIHON FALCOM CORPORATION 
59420,"NIPPON FILCON CO.,LTD. "
68700,"Fenwal Controls of Japan, Ltd. "
35120,"NIPPON FELT CO.,LTD. "
72910,"NIHON PLAST CO.,LTD. "
27950,NIPPON PRIMEX INC. 
96510,"Japan Process Development Co.,Ltd. "
46120,"NIPPON PAINT HOLDINGS CO.,LTD. "
70610,Japan Hospice Holdings Inc. 
27020,"McDonald's Holdings Company(Japan),Ltd. "
411A,?????????? 
71920,Mortgage Service Japan Limited 
75750,"Japan Lifeline Co., Ltd. "
47360,Nippon RAD Inc. 
19380,"NIPPON RIETEC CO.,LTD. "
90600,JAPAN LOGISTIC SYSTEMS CORP. 
17710,"NIPPON KANRYU INDUSTRY CO.,LTD. "
57530,"NIPPON SHINDO CO.,LTD. "
67410,"Nippon Signal Company,Limited "
68490,NIHON KOHDEN CORPORATION 
54800,"Nippon Yakin Kogyo Co.,Ltd. "
40920,"Nippon Chemical Industrial Co.,Ltd. "
40940,"NIHON KAGAKU SANGYO CO.,LTD. "
42720,"NIPPON KAYAKU CO.,LTD. "
24990,"NIHONWASOU HOLDINGS,INC. "
18870,JDC CORPORATION 
53550,"Nippon Crucible co.,Ltd. "
19140,"japan foundation engineering co.,ltd. "
52100,"Nihon Yamamura Glass Co., Ltd. "
40540,"Japan PropTech Co.,Ltd. "
45160,"Nippon Shinyaku Co.,Ltd. "
40410,"Nippon Soda Co.,Ltd. "
32010,"THE JAPAN WOOL TEXTILE CO., LTD. "
46190,"Nihon Tokushu Toryo Co., Ltd. "
53340,"Niterra Co., Ltd. "
81740,"NIPPON GAS CO.,LTD. "
21080,"Nippon Beet Sugar Manufacturing Co.,Ltd. "
59910,"NHK SPRING CO., LTD. "
90740,"Japan Oil Transportation Co., Ltd. "
97060,"Japan Airport Terminal Co.,Ltd. "
46580,"Nippon Air Conditioning Services Co., Ltd. "
93470,"NIPPON KANZAI Holdings Co.,Ltd. "
43620,"Nippon Fine Chemical Co., Ltd. "
77710,"Nihon Seimitsu Co.,Ltd. "
64710,NSK Ltd. 
72870,"NIPPON SEIKI CO.,LTD. "
56590,"Nippon Seisen Co., Ltd. "
50100,"NIPPON SEIRO CO., LTD. "
57290,"NIHON SEIKO CO.,LTD. "
80320,"Japan Pulp & Paper Co., Ltd. "
52790,"NIHON KOGYO CO., LTD. "
92010,"Japan Airlines Co., Ltd. "
68070,"Japan Aviation Electronics Industry, Limited "
38630,"Nippon Paper Industries Co.,Ltd. "
59050,NIHON SEIKAN K.K. 
54010,NIPPON STEEL CORPORATION 
33060,"THE NIHON SEIMA CO.,LTD "
85110,"Japan Securities Finance Co.,Ltd. "
29610,NITCHO CORPORATION 
71020,"NIPPON SHARYO, LTD. "
57030,"Nippon Light Metal Holdings Company, Ltd. "
49970,"NIHON NOHYAKU CO., LTD. "
94240,Japan Communications Inc. 
61780,"Japan Post Holdings Co., Ltd. "
91010,Nippon Yusen Kabushiki Kaisha 
40910,NIPPON SANSO HOLDINGS CORPORATION 
54910,"NIPPON KINZOKU CO., LTD. "
64180,"Japan Cash Machine co.,ltd. "
56090,NIPPON CHUZO K. K. 
56120,NIPPON CHUTETSUKAN K.K. 
68550,JAPAN ELECTRONIC MATERIALS CORPORATION 
69510,JEOL Ltd. 
17230,"NIHON DENGI CO., LTD. "
67010,NEC Corporation 
52140,"Nippon Electric Glass Co., Ltd. "
67790,"NIHON DEMPA KOGYO CO., LTD. "
99080,"NIHON DENKEI CO.,LTD. "
19500,"NIPPON DENSETSU KOGYO CO.,LTD "
28920,"NIHON SHOKUHIN KAKO CO., LTD. "
23530,"NIPPON PARKING DEVELOPMENT Co.,Ltd. "
49730,"JAPAN PURE CHEMICAL CO.,LTD. "
94140,Nippon BS Broadcasting Corporation 
60250,"Japan PC Service Co., Ltd. "
28770,NittoBest Corporation 
20030,"NITTO FUJI FLOUR MILLING CO.,LTD. "
61510,"NITTO KOHKI CO.,LTD. "
66510,NITTO KOGYO CORPORATION 
59570,"NITTO SEIKO CO.,LTD. "
31100,"NITTO BOSEKI CO.,LTD. "
35240,"NITTO SEIMO CO., LTD. "
69880,NITTO DENKO CORPORATION 
63760,"NIKKISO CO.,LTD. "
19820,"Hibiya Engineering,Ltd. "
44030,NOF CORPORATION 
26020,"The Nisshin OilliO Group, Ltd. "
